ticker_yf,super_cluster
AAPL,MEGA_TECH_AI
MSFT,MEGA_TECH_AI
GOOGL,MEGA_TECH_AI
GOOG,MEGA_TECH_AI
META,MEGA_TECH_AI
AMZN,MEGA_TECH_AI
NVDA,MEGA_TECH_AI
TSLA,MEGA_TECH_AI
PLTR,MEGA_TECH_AI
CRM,MEGA_TECH_AI
ORCL,MEGA_TECH_AI
ADBE,MEGA_TECH_AI
INTU,MEGA_TECH_AI
SNOW,MEGA_TECH_AI
NFLX,MEGA_TECH_AI
SPOT,MEGA_TECH_AI
HUBS,MEGA_TECH_AI
TEAM,MEGA_TECH_AI
DDOG,MEGA_TECH_AI
CDNS,MEGA_TECH_AI
RBLX,MEGA_TECH_AI
PATH,MEGA_TECH_AI
DUOL,MEGA_TECH_AI
AMD,SEMIS
AVGO,SEMIS
ASML,SEMIS
MU,SEMIS
KLAC,SEMIS
AMAT,SEMIS
QCOM,SEMIS
TSM,SEMIS
CAMT,SEMIS
AMKR,SEMIS
ONTO,SEMIS
RMBS,SEMIS
SMCI,SEMIS
VRT,SEMIS
FSLR,SEMIS
GLW,SEMIS
XOM,ENERGY
CVX,ENERGY
COP,ENERGY
SLB,ENERGY
RIO,ENERGY
NUE,ENERGY
LEU,ENERGY
UEC,ENERGY
UUUU,ENERGY
DNN,ENERGY
NOG,ENERGY
INRG.L,ENERGY
SHEL,ENERGY
TTE,ENERGY
LIN,ENERGY
LLY,PHARMA_BIOTECH
NVO,PHARMA_BIOTECH
MRNA,PHARMA_BIOTECH
CRSP,PHARMA_BIOTECH
BEAM,PHARMA_BIOTECH
RXRX,PHARMA_BIOTECH
TMDX,PHARMA_BIOTECH
JNJ,PHARMA_BIOTECH
ABBV,PHARMA_BIOTECH
AZN,PHARMA_BIOTECH
GSK,PHARMA_BIOTECH
UNH,PHARMA_BIOTECH
ISRG,PHARMA_BIOTECH
BSX,PHARMA_BIOTECH
TMO,PHARMA_BIOTECH
JPM,FINANCIALS
BAC,FINANCIALS
COF,FINANCIALS
SCHW,FINANCIALS
STT,FINANCIALS
HOOD,FINANCIALS
SOFI,FINANCIALS
KEY,FINANCIALS
HBAN,FINANCIALS
PYPL,FINANCIALS
V,FINANCIALS
MA,FINANCIALS
SPGI,FINANCIALS
MCO,FINANCIALS
CME,FINANCIALS
ICE,FINANCIALS
BLK,FINANCIALS
MSCI,FINANCIALS
PGR,FINANCIALS
RTX,DEFENSE_AERO
LMT,DEFENSE_AERO
NOC,DEFENSE_AERO
KTOS,DEFENSE_AERO
AVAV,DEFENSE_AERO
RKLB,DEFENSE_AERO
JOBY,DEFENSE_AERO
LUNR,DEFENSE_AERO
HON,DEFENSE_AERO
IONQ,QUANTUM_COMPUTE
QBTS,QUANTUM_COMPUTE
AIAI.L,AI_ROBOTICS
RBOT,AI_ROBOTICS
RCAT,AI_ROBOTICS
SOUN,AI_ROBOTICS
BBAI,AI_ROBOTICS
PG,CONSUMER_STAPLES
PEP,CONSUMER_STAPLES
KO,CONSUMER_STAPLES
CL,CONSUMER_STAPLES
WMT,CONSUMER_STAPLES
COST,CONSUMER_STAPLES
HD,CONSUMER_STAPLES
ULVR.L,CONSUMER_STAPLES
DGE.L,CONSUMER_STAPLES
NESN.SW,CONSUMER_STAPLES
DRI,CONSUMER_STAPLES
TOST,CONSUMER_STAPLES
UPS,INDUSTRIALS
ETN,INDUSTRIALS
CAT,INDUSTRIALS
DE,INDUSTRIALS
UNP,INDUSTRIALS
WM,INDUSTRIALS
FIX,INDUSTRIALS
SAP,INDUSTRIALS
SIE.DE,INDUSTRIALS
ALV,INDUSTRIALS
VICI,REITS_REAL_ESTATE
PSA,REITS_REAL_ESTATE
NEE,UTILITIES
DTE,UTILITIES
CMS,UTILITIES
